,ip.src,port.src,ip.dst,port.dst,proto,ssl_flag,tls_version,sni_flag,cert_chain_len,self_cert_flag,valid_avg,valid_std,expire_flag,age_avg,san_dns_num_avg,consistent_flag,cert_num,fw_pkt_l_max,fw_pkt_l_min ,fw_pkt_l_avg,fw_pkt_l_var,fw_pkt_l_std,fw_byt_s,fw_pkt_s,fw_iat_min,fw_iat_max,fw_iat_avg,fw_iat_std,fw_iat_tot,fw_fin_cnt,fw_syn_cnt,fw_rst_cnt,fw_psh_cnt,fw_ack_cnt,fw_urg_cnt,fw_ece_cnt,fw_cwr_cnt,fw_10_p,fw_20_p,fw_30_p,fw_40_p,fw_50_p,fw_60_p,fw_70_p,fw_80_p,fw_90_p,fw_duration,bw_pkt_l_max,bw_pkt_l_min ,bw_pkt_l_avg,bw_pkt_l_var,bw_pkt_l_std,bw_byt_s,bw_pkt_s,bw_iat_min,bw_iat_max,bw_iat_avg,bw_iat_std,bw_iat_tot,bw_fin_cnt,bw_syn_cnt,bw_rst_cnt,bw_psh_cnt,bw_ack_cnt,bw_urg_cnt,bw_ece_cnt,bw_cwr_cnt,bw_10_p,bw_20_p,bw_30_p,bw_40_p,bw_50_p,bw_60_p,bw_70_p,bw_80_p,bw_90_p,bw_duration,fl_pkt_l_max,fl_pkt_l_min ,fl_pkt_l_avg,fl_pkt_l_var,fl_pkt_l_std,fl_byt_s,fl_pkt_s,fl_iat_min,fl_iat_max,fl_iat_avg,fl_iat_std,fl_iat_tot,fl_fin_cnt,fl_syn_cnt,fl_rst_cnt,fl_psh_cnt,fl_ack_cnt,fl_urg_cnt,fl_ece_cnt,fl_cwr_cnt,fl_10_p,fl_20_p,fl_30_p,fl_40_p,fl_50_p,fl_60_p,fl_70_p,fl_80_p,fl_90_p,fl_duration,fw_hdr_len,bw_hdr_len,down_up_ratio,fw_seg_avg,bw_seg_avg,fw_seg_cnt,bw_seg_cnt,fl_seg_cnt,conn_state
0,10.12.13.101,49158,185.45.192.7,445,1,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,626,40,77.36407766990291,2695.532495993968,51.98164069380872,693.4506335444092,8.963470572262553,2.9999999995311555e-06,6.686163999999998,0.1118353746958637,0.4235192836442367,45.964339,0,2,0,179,411,0,0,0,40.0,40.0,40.0,40.0,40.0,85.0,103.0,119.20000000000005,146.0,45.964339,1500,40,872.6532091097308,366001.19961185486,605.2937100832743,18402.46768315245,21.087950506623823,0.0,6.6864399999999975,0.0474204451345755,0.2808076631658212,45.80815,0,1,0,607,966,0,0,0,40.0,79.0,140.0,1132.0,1132.0,1316.0,1316.0,1316.0,1500.0,45.80815,1500,40,634.8744557329463,389942.7280702771,624.6806471144541,19033.38586028617,29.979763224703394,0.0,6.686163999999998,0.0333558338171262,0.2360854913752006,45.964339,0,3,0,786,1377,0,0,0,40.0,40.0,54.69999999999908,108.0,146.0,1132.0,1316.0,1316.0,1500.0,45.964339,8240,19320,26.44735521114388,0,0,0,0,0,S1
1,10.12.6.102,49223,104.244.79.226,80,1,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,292,40,84.0,8672.0,102.01176402748852,4.633253529831332,0.05515778011703966,0.0002169999999999,103.471966,21.7557704,45.73009076984444,108.778852,1,2,0,1,5,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,46.0,52.0,172.0,108.778852,625,40,157.8,54571.36,261.1784830341121,7.263448136135688,0.04602945586904745,0.0,103.472158,21.7252188,45.74828719298035,108.626094,1,1,0,2,5,0,0,0,40.0,40.0,40.0,40.0,40.0,41.6,43.2,160.2000000000001,392.6,108.626094,625,40,117.54545454545456,30885.702479338837,184.32111308060377,11.88649243636654,0.10112251879352818,0.0,103.471966,9.888994181818182,31.07381060494238,108.778936,2,3,0,3,10,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,44.0,52.0,292.0,108.778936,120,100,1.5654761904761905,0,0,0,0,0,SF
2,10.12.6.105,49244,98.124.252.145,80,1,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,350,40,75.77777777777777,9413.728395061731,102.9098850667148,2260.890897096313,29.8358036273707,0.0001079999999999,0.190771,0.037706375,0.0685499465039647,0.301651,0,2,1,1,8,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,44.8,111.60000000000004,0.301651,1488,40,974.7142857142856,404143.6326530613,686.6592348187744,35104.95986828565,36.01564107841119,0.0,0.19022,0.0277657142857142,0.0716393550494751,0.19436,0,1,0,5,7,0,0,0,42.4,192.6000000000001,638.3999999999999,1067.4000000000003,1488.0,1488.0,1488.0,1488.0,1488.0,0.19436,1488,40,469.0625,380973.18359375,637.472662812558,24879.745135935234,53.04142867088125,0.0,0.19022,0.0188531875,0.0505433512860907,0.301651,0,3,1,6,15,0,0,0,40.0,40.0,40.0,40.0,42.0,52.0,568.5,1488.0,1488.0,0.301651,180,140,10.004398826979472,0,0,0,0,0,RSTO
3,10.12.1.102,49438,104.24.105.53,80,1,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,542,40,158.5,30209.5,185.80942617946715,10.704382020281749,0.06753553325098895,5.900000000735872e-05,72.31525099999999,16.922308714285712,29.83500990506825,118.45616099999998,1,2,0,3,7,0,0,0,40.0,40.0,40.0,40.0,46.0,80.60000000000002,180.69999999999996,269.4000000000001,385.9,118.456161,1500,40,392.3333333333333,356330.66666666674,633.1445332623508,29.81329632150361,0.07598971025022162,0.0,72.31542099999999,13.159676444444443,26.895110634939236,118.437088,1,1,0,2,9,0,0,0,40.0,40.0,40.0,40.0,40.0,43.2,189.7999999999999,772.2000000000005,1500.0,118.437088,1500,40,282.29411764705884,216484.08996539796,479.598108407691,40.51281165961928,0.14351277312221872,0.0,72.31525099999999,6.96802088235294,20.18647783164416,118.456355,2,3,0,5,16,0,0,0,40.0,40.0,40.0,40.0,40.0,48.8,213.39999999999992,312.6,925.2000000000004,118.456355,160,180,2.784700315457413,0,0,0,0,0,SF
4,10.12.11.102,49303,35.226.76.94,443,1,1,1,1,2,0.0,82771200.0,74995200.0,1,11.709450641506637,0.0,0,2,333,40,110.125,9936.609375,106.5651209355106,269.0357283111702,2.443003208273963,0.0152279999999999,1.7019400000000002,0.4678082857142857,0.563102969810648,3.274658,0,2,0,3,7,0,0,0,40.0,40.0,40.0,40.0,46.0,74.00000000000003,150.99999999999994,169.20000000000002,221.7,3.274658,1500,40,484.6363636363636,368199.50413223146,636.4113878188027,41.78093987537006,0.0862109057642226,0.0,124.670347,11.599460545454546,37.50455944640728,127.594066,0,1,1,5,11,0,0,0,40.0,40.0,40.0,44.0,99.0,99.0,614.0,1316.0,1499.0,127.594066,1500,40,326.94736842105266,251542.4709141274,515.2834682304284,48.55216194718992,0.1485014612035751,0.0,124.670211,6.7339404736842114,28.562268632869387,127.944869,0,3,1,8,18,0,0,0,40.0,40.0,40.0,40.8,52.0,99.0,169.2,445.4000000000001,1352.6,127.944869,160,220,6.051078320090806,0,0,0,0,0,REJ
5,10.12.19.101,49163,195.225.168.230,80,1,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,339,40,44.859375,1375.527099609375,37.38129028130568,1714.0585036645389,38.20959395142128,1.199999999990098e-05,0.154241,0.0265868571428571,0.0429197995135778,1.674972,0,2,1,1,63,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1.674972,1500,40,1455.3880597014925,41875.5956783248,205.4031396575265,130663.80444716016,89.77935717980259,0.0,0.1540289999999999,0.0111384179104477,0.029968546521913,1.492548,0,1,0,62,134,0,0,0,1464.0,1476.0,1476.0,1488.0,1500.0,1500.0,1500.0,1500.0,1500.0,1.492548,1500,40,999.459595959596,464014.0766503418,682.9124966309068,118147.04962232204,118.21093128720959,0.0,0.1540289999999999,0.0084594545454545,0.0270223499103166,1.674972,0,3,1,63,197,0,0,0,40.0,40.0,40.0,1464.0,1476.0,1488.0,1500.0,1500.0,1500.0,1.674972,1280,2680,67.92824799721352,0,0,0,0,0,RSTO
6,10.12.12.103,49164,165.227.82.165,80,1,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,282,40,82.33333333333333,7992.555555555556,97.93399137514344,5.234162275241602,0.06357282115678059,0.000168,65.004368,18.875991,28.6835338725634,94.379955,1,2,0,1,5,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,46.0,52.0,167.0,94.379955,1178,40,268.4,206845.44,508.4848080326491,14.226637393999756,0.05300535541728673,0.0,65.004383,18.866018200000003,28.691780815792463,94.330091,1,1,0,2,5,0,0,0,40.0,40.0,40.0,40.0,40.0,41.6,43.2,270.8000000000002,724.4000000000001,94.330091,1178,40,166.9090909090909,106963.90082644626,343.01645865627336,19.453273174262637,0.11655011161050598,0.0,65.004221,8.580000363636364,20.64629727715391,94.380004,2,3,0,3,10,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,44.0,52.0,282.0,94.380004,120,100,2.716599190283401,0,0,0,0,0,SF
7,10.12.13.101,49166,98.124.251.72,80,1,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,270,40,48.642857142857146,1819.7295918367345,43.44107485004237,583.7261270157194,12.00024343350965,4.699999999990823e-05,1.731326,0.086418,0.3305082399880523,2.333286,0,2,1,1,27,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,2.333286,1500,40,1361.203125,147902.78686523438,387.6215295217869,164357.1230475788,120.74400949349774,0.0,0.0904009999999999,0.008281984375,0.0233887292531919,0.530047,0,1,0,28,64,0,0,0,1064.4000000000003,1476.0,1488.0,1488.0,1500.0,1500.0,1500.0,1500.0,1500.0,0.530047,1500,40,961.7282608695652,468197.3935491495,687.9988516355876,37920.34066976787,39.42937128153171,0.0,1.731326,0.025361804347826,0.1810246251491792,2.333286,0,3,1,29,91,0,0,0,40.0,40.0,41.900000000000006,1444.8,1482.0,1488.0,1500.0,1500.0,1500.0,2.333286,560,1280,63.9625550660793,0,0,0,0,0,RSTO
8,10.12.12.102,49166,165.227.82.165,80,1,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,282,40,82.33333333333333,7992.555555555556,97.93399137514344,4.829800235062662,0.058661541316550554,1.000000000001e-05,65.048143,20.4563326,29.54571161928769,102.281663,1,2,0,1,5,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,46.0,52.0,167.0,102.281663,1184,40,269.6,209034.24,511.1680741204404,13.195588875178832,0.0489450625933933,0.0,65.048244,20.43107,29.567569512189937,102.15535,1,1,0,2,5,0,0,0,40.0,40.0,40.0,40.0,40.0,41.6,43.2,272.0000000000002,728.0000000000001,102.15535,1184,40,167.45454545454547,108069.88429752066,344.7852559598115,18.00907980260289,0.1075460791686383,0.0,65.048127,9.298339909090908,21.524524115410323,102.281739,2,3,0,3,10,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,44.0,52.0,282.0,102.281739,120,100,2.7287449392712553,0,0,0,0,0,SF
9,10.12.4.102,49171,64.29.151.221,80,1,0,0,0,0,,0.0,0.0,0,0.0,0.0,0,0,295,40,84.5,8881.25,103.2351684262684,10.092209753621091,0.11943443495409578,0.0003589999999999,40.105617,10.0473536,17.348572667763815,50.236768,1,2,0,1,5,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,46.0,52.0,173.5,50.236768,549,40,142.6,41292.64,227.19110898096343,14.208439562011,0.09963842610105891,0.0,40.105813,10.0362886,17.35666233494916,50.181443,1,1,0,2,5,0,0,0,40.0,40.0,40.0,40.0,40.0,41.6,43.2,145.00000000000009,347.00000000000006,50.181443,549,40,110.9090909090909,24450.628099173555,163.99905764696,24.28495875050464,0.21896274283241884,0.0,40.105617,4.566987,12.16225813382407,50.236857,2,3,0,3,10,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,44.0,52.0,295.0,50.236857,120,100,1.406311637080868,0,0,0,0,0,SF
